,Count,Name,Company ID,Last Modified Date,Total Revenue,Postal Code,Last Touch Converting Campaign,First Touch Converting Campaign,Recent Deal Close Date,Number of Pageviews,Number of Employees,Time of Last Session,Time of First Session,Close Date,Associated Deals,Last Logged Call Date,Recent Deal Amount,Number of times contacted,First Conversion Date,Last Open Task Date,First Deal Created Date,Number of Form Submissions,Create Date,Month Create Date,Date of last meeting booked in meetings tool,Number of Sessions,Last Sales Activity Date,Last Activity Date,Next Activity Date,Owner Assigned Date,Total Money Raised,Associated Contacts,Recent Conversion Date,Original Source Data 2,Last Booked Meeting Date,Last Contacted,First Contact Create Date,Time Last Seen,Time First Seen,Year Founded,Days to Close,Annual Revenue,Number of open deals,Time Zone,,,,,,
244,1,Harvard University,1757966179,8/20/2020 12:24,,2138,,,,0,,,,,,,,1,,,,0,3/22/2019,19-Mar,,0,7/22/2020 17:18,7/22/2020 16:48,,4/6/2020 15:28,"$91,800,000 ",3,,5292273,,7/22/2020 16:48,3/22/2019 15:01,,3/22/2019 15:01,1636,,,0,-5,,,,,,
442,1,fmr,1813441012,7/26/2020 13:09,,48084,,,,0,10000,,,,,,,,,,,,4/15/2019,19-Apr,,0,,,,4/15/2019 17:23,,0,,5470850,,,4/15/2019 17:19,,4/15/2019 17:19,1980,,1000000000,0,-5,,,,,,
4170,1,Bloomberg L.P.,2194492909,10/20/2020 13:40,,10075,,,,,10000,,,,,,,,,,,,7/10/2019,19-Jul,,,,,,,,,,,,,,,,1981,,1000000000,0,,,,,,,
3234,1,Fortive,2349794327,10/29/2020 16:10,,98203,,,10/29/2020 16:10,0,10000,,,10/29/2020 16:10,1,2/19/2020 17:11,,11,,,2/19/2020 12:57,,8/22/2019,19-Aug,,0,6/11/2020 22:08,7/27/2020 17:31,,8/22/2019 16:57,,3,,CRM_UI,,7/27/2020 17:27,8/22/2019 15:46,,8/22/2019 15:46,2016,433,1000000000,0,-8,,,,,,
2758,1,Uber,1737381170,10/28/2020 17:21,,94103,,,10/28/2020 17:21,3,10000,5/29/2020 10:44,3/17/2020 16:37,10/28/2020 17:21,1,,,,,,10/26/2020 18:40,0,3/13/2019,19-Mar,,2,5/29/2020 10:44,,,11/6/2019 17:18,"$25,500,000,000 ",3,,5220343,,,3/13/2019 14:29,5/29/2020 10:44,3/13/2019 14:29,2009,595,1000000000,0,-8,,,,,,
2889,1,VMware,1813182655,10/25/2020 10:35,4000,94304,,,8/12/2020 15:36,0,10000,,,8/12/2020 15:36,1,,4000,3,,,7/15/2020 14:16,,4/15/2019,19-Apr,,0,10/23/2020 13:09,10/22/2020 19:19,,4/15/2019 17:23,"$393,500,000 ",4,,5767234,,10/22/2020 19:19,5/23/2019 7:54,,5/23/2019 7:54,1998,484,1000000000,0,-8,,,,,,
3294,1,Sempra Energy,2861842605,6/5/2020 19:33,,92101,,,2/12/2020 10:33,0,10000,,,2/12/2020 10:33,1,,,1,,,1/21/2020 12:19,,1/21/2020,20-Jan,,0,6/5/2020 19:33,6/5/2020 17:37,,1/21/2020 12:19,,2,,CRM_UI,,6/5/2020 17:37,1/21/2020 12:19,,1/21/2020 12:19,1998,21,1000000000,0,-8,,,,,,
1794,1,"JO-ANN STORES, LLC",4857651798,11/18/2020 16:18,,44236,,,,0,10000,,,,,,,,,,,,11/18/2020,20-Nov,,0,,,,,,1,,11913282,,,11/18/2020 16:18,,11/18/2020 16:18,1943,,1000000000,,-5,,,,,,
1787,1,Randstad USA,4855767174,11/18/2020 16:18,,30339,,,,0,10000,,,,,,,,,,,,11/18/2020,20-Nov,,0,,,,,,1,,11913282,,,11/18/2020 16:18,,11/18/2020 16:18,1960,,1000000000,,-5,,,,,,
1784,1,The TJX Companies,4843436623,11/17/2020 10:07,,1701,,,,0,10000,,,,,,,,,,,,11/17/2020,20-Nov,,0,,,,,,1,,11884886,,,11/17/2020 10:07,,11/17/2020 10:07,1987,,1000000000,,-5,,,,,,
1782,1,Akamai Technologies,4825269929,11/13/2020 14:50,,2142,,,,0,10000,,,,,,,,,,,,11/13/2020,20-Nov,,0,,,,,,1,,11840632,,,11/13/2020 14:50,,11/13/2020 14:50,1998,,1000000000,,-5,,,,,,
2561,1,ManpowerGroup,4825230443,11/13/2020 14:51,,53212,,,,0,10000,,,,,,,,,,,,11/13/2020,20-Nov,,0,,,,,,1,,11840632,,,11/13/2020 14:50,,11/13/2020 14:50,1948,,1000000000,,-6,,,,,,
1756,1,Department of Homeland Security,4794288059,11/9/2020 15:05,,20528,,,,0,10000,,,,,,,,,,,,11/9/2020,20-Nov,,0,,,,,,4,,11763254,,,11/9/2020 15:04,,11/9/2020 15:04,2002,,1000000000,,-5,,,,,,
1753,1,Department of Homeland Security,4794279608,11/9/2020 15:05,,20528,,,,0,10000,,,,,,,,,,,,11/9/2020,20-Nov,,0,,,,,,1,,11763254,,,11/9/2020 15:04,,11/9/2020 15:04,2002,,1000000000,,-5,,,,,,
3972,1,"University of California, Irvine",4794279605,11/9/2020 15:04,,92697,,,,0,10000,,,,,,,,,,,,11/9/2020,20-Nov,,0,,,,,"$1,000,000 ",1,,11763254,,,11/9/2020 15:04,,11/9/2020 15:04,1965,,1000000000,,-8,,,,,,
1748,1,MAXIMUS,4794248228,11/9/2020 15:05,,20190,,,,0,10000,,,,,,,,,,,,11/9/2020,20-Nov,,0,,,,,"$7,900,000 ",2,,11763254,,,11/9/2020 15:04,,11/9/2020 15:04,1975,,1000000000,,-5,,,,,,
2544,1,R.R. Donnelley & Sons Company,4794248223,11/19/2020 14:51,,60601,,,,0,10000,,,,,,,,,,,,11/9/2020,20-Nov,,0,,,,,,1,,11763254,,,11/9/2020 15:04,,11/9/2020 15:04,1864,,1000000000,,-6,,,,,,
