Industry,Overall Count,Perc of Total,Deal Count,Perc of Total Deal,Perc Difference
Human Resources,96,3.2,0.0,0.0,0.0
Computer Games,76,2.6,0.0,0.0,0.0
Information Technology and Services,74,2.5,0.0,0.0,0.0
Insurance,58,1.9,0.0,0.0,0.0
Retail,45,1.5,0.0,0.0,0.0
Defense & Space,41,1.4,0.0,0.0,0.0
Banking,37,1.2,0.0,0.0,0.0
Food & Beverages,27,0.9,0.0,0.0,0.0
"Health, Wellness and Fitness",25,0.8,0.0,0.0,0.0
Government Administration,24,0.8,0.0,0.0,0.0
Pharmaceuticals,22,0.7,0.0,0.0,0.0
Entertainment,21,0.7,0.0,0.0,0.0
Biotechnology,21,0.7,0.0,0.0,0.0
Oil & Energy,20,0.7,0.0,0.0,0.0
Computer Hardware,19,0.6,0.0,0.0,0.0
Education Management,19,0.6,0.0,0.0,0.0
Aviation & Aerospace,18,0.6,0.0,0.0,0.0
Civil Engineering,16,0.5,0.0,0.0,0.0
E-Learning,16,0.5,0.0,0.0,0.0
Civic & Social Organization,16,0.5,0.0,0.0,0.0
Broadcast Media,16,0.5,0.0,0.0,0.0
Logistics and Supply Chain,16,0.5,0.0,0.0,0.0
Investment Management,13,0.4,0.0,0.0,0.0
Consumer Goods,13,0.4,0.0,0.0,0.0
Hospitality,12,0.4,0.0,0.0,0.0
Restaurants,11,0.4,0.0,0.0,0.0
Legal Services,11,0.4,0.0,0.0,0.0
Consumer Electronics,11,0.4,0.0,0.0,0.0
Food Production,10,0.3,0.0,0.0,0.0
Chemicals,9,0.3,0.0,0.0,0.0
Mechanical or Industrial Engineering,9,0.3,0.0,0.0,0.0
Airlines/Aviation,8,0.3,0.0,0.0,0.0
"Leisure, Travel & Tourism",8,0.3,0.0,0.0,0.0
Computer Networking,8,0.3,0.0,0.0,0.0
Wholesale,7,0.2,0.0,0.0,0.0
Information Services,7,0.2,0.0,0.0,0.0
Investment Banking,7,0.2,0.0,0.0,0.0
Mining & Metals,7,0.2,0.0,0.0,0.0
Renewables & Environment,7,0.2,0.0,0.0,0.0
Professional Training & Coaching,7,0.2,0.0,0.0,0.0
Packaging and Containers,6,0.2,0.0,0.0,0.0
Law Practice,6,0.2,0.0,0.0,0.0
Public Relations and Communications,6,0.2,0.0,0.0,0.0
Semiconductors,6,0.2,0.0,0.0,0.0
Environmental Services,6,0.2,0.0,0.0,0.0
Architecture & Planning,6,0.2,0.0,0.0,0.0
Consumer Services,5,0.2,0.0,0.0,0.0
Luxury Goods & Jewelry,5,0.2,0.0,0.0,0.0
Music,5,0.2,0.0,0.0,0.0
Motion Pictures and Film,5,0.2,0.0,0.0,0.0
Museums and Institutions,5,0.2,0.0,0.0,0.0
Facilities Services,4,0.1,0.0,0.0,0.0
Machinery,4,0.1,0.0,0.0,0.0
Building Materials,4,0.1,0.0,0.0,0.0
Computer & Network Security,4,0.1,0.0,0.0,0.0
Primary/Secondary Education,4,0.1,0.0,0.0,0.0
Printing,4,0.1,0.0,0.0,0.0
Wine and Spirits,4,0.1,0.0,0.0,0.0
Media Production,4,0.1,0.0,0.0,0.0
Online Media,4,0.1,0.0,0.0,0.0
Outsourcing/Offshoring,4,0.1,0.0,0.0,0.0
Religious Institutions,3,0.1,0.0,0.0,0.0
Sports,3,0.1,0.0,0.0,0.0
Performing Arts,3,0.1,0.0,0.0,0.0
Cosmetics,3,0.1,0.0,0.0,0.0
Individual & Family Services,2,0.1,0.0,0.0,0.0
Government Relations,2,0.1,0.0,0.0,0.0
Sporting Goods,2,0.1,0.0,0.0,0.0
International Trade and Development,2,0.1,0.0,0.0,0.0
Photography,2,0.1,0.0,0.0,0.0
Tobacco,2,0.1,0.0,0.0,0.0
Textiles,2,0.1,0.0,0.0,0.0
Recreational Facilities and Services,2,0.1,0.0,0.0,0.0
Research,2,0.1,0.0,0.0,0.0
Security and Investigations,2,0.1,0.0,0.0,0.0
Medical Practice,2,0.1,0.0,0.0,0.0
Mental Health Care,2,0.1,0.0,0.0,0.0
Wireless,2,0.1,0.0,0.0,0.0
