Industry,Overall Count,Perc of Total,Deal Count,Perc of Total Deal,Perc Difference
Medical Devices,16,0.5,2,3.3,660
Transportation/Trucking/Railroad,15,0.5,2,3.3,660
Gambling & Casinos,8,0.3,1,1.7,567
Utilities,13,0.4,1,1.7,425
Electrical/Electronic Manufacturing,15,0.5,1,1.7,340
Apparel & Fashion,14,0.5,1,1.7,340
Accounting,21,0.7,1,1.7,243
Publishing,23,0.8,1,1.7,212
Computer Software,866,29.1,33,55,189
Non-Profit Organization Management,31,1,1,1.7,170
Telecommunications,29,1,1,1.7,170
Automotive,29,1,1,1.7,170
Construction,37,1.2,1,1.7,142
Real Estate,38,1.3,1,1.7,131
Staffing and Recruiting,130,4.4,3,5,114
Financial Services,191,6.4,4,6.7,105
Marketing and Advertising,59,2,1,1.7,85
Venture Capital & Private Equity,74,2.5,1,1.7,68
Higher Education,90,3,1,1.7,57
Management Consulting,114,3.8,1,1.7,45
Hospital & Health Care,117,3.9,1,1.7,44
